Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,Description
J1,1,Keyboard,PinHeader_1x14_P2.54mm_Horizontal,,,,tht,"Generic connector, single row, 01x14, script generated (kicad-library-utils/schlib/autogen/connector/)"
SW1,1,A [MET],SW_PUSH-12mm_Wuerth-430476085716,,,,tht,"Push button switch, normally open, two pins, 45° tilted"
SW10,1,T [+/-],SW_PUSH-12mm_Wuerth-430476085716,,,,tht,"Push button switch, normally open, two pins, 45° tilted"
SW11,1,U [M+],SW_PUSH-12mm_Wuerth-430476085716,,,,tht,"Push button switch, normally open, two pins, 45° tilted"
SW12,1,V [0],SW_PUSH-12mm_Wuerth-430476085716,,,,tht,"Push button switch, normally open, two pins, 45° tilted"
SW13,1,E [7],SW_PUSH-12mm_Wuerth-430476085716,,,,tht,"Push button switch, normally open, two pins, 45° tilted"
SW14,1,F [8],SW_PUSH-12mm_Wuerth-430476085716,,,,tht,"Push button switch, normally open, two pins, 45° tilted"
SW15,1,G [9],SW_PUSH-12mm_Wuerth-430476085716,,,,tht,"Push button switch, normally open, two pins, 45° tilted"
SW16,1,H [÷],SW_PUSH-12mm_Wuerth-430476085716,,,,tht,"Push button switch, normally open, two pins, 45° tilted"
SW17,1,N [4],SW_PUSH-12mm_Wuerth-430476085716,,,,tht,"Push button switch, normally open, two pins, 45° tilted"
SW18,1,O [5],SW_PUSH-12mm_Wuerth-430476085716,,,,tht,"Push button switch, normally open, two pins, 45° tilted"
SW19,1,P [6],SW_PUSH-12mm_Wuerth-430476085716,,,,tht,"Push button switch, normally open, two pins, 45° tilted"
SW2,1,B [US],SW_PUSH-12mm_Wuerth-430476085716,,,,tht,"Push button switch, normally open, two pins, 45° tilted"
SW20,1,Q [+],SW_PUSH-12mm_Wuerth-430476085716,,,,tht,"Push button switch, normally open, two pins, 45° tilted"
SW21,1,W [1],SW_PUSH-12mm_Wuerth-430476085716,,,,tht,"Push button switch, normally open, two pins, 45° tilted"
SW22,1,X [2],SW_PUSH-12mm_Wuerth-430476085716,,,,tht,"Push button switch, normally open, two pins, 45° tilted"
SW23,1,Y [3],SW_PUSH-12mm_Wuerth-430476085716,,,,tht,"Push button switch, normally open, two pins, 45° tilted"
SW24,1,Z [.],SW_PUSH-12mm_Wuerth-430476085716,,,,tht,"Push button switch, normally open, two pins, 45° tilted"
SW25,1,? [P2},SW_PUSH-12mm_Wuerth-430476085716,,,,tht,"Push button switch, normally open, two pins, 45° tilted"
SW26,1,bs [P1],SW_PUSH-12mm_Wuerth-430476085716,,,,tht,"Push button switch, normally open, two pins, 45° tilted"
SW27,1,R [-],SW_PUSH-12mm_Wuerth-430476085716,,,,tht,"Push button switch, normally open, two pins, 45° tilted"
SW28,1,I [x],SW_PUSH-12mm_Wuerth-430476085716,,,,tht,"Push button switch, normally open, two pins, 45° tilted"
SW29,1,def [P4],SW_PUSH-12mm_Wuerth-430476085716,,,,tht,"Push button switch, normally open, two pins, 45° tilted"
SW3,1,C [X->M],SW_PUSH-12mm_Wuerth-430476085716,,,,tht,"Push button switch, normally open, two pins, 45° tilted"
SW30,1,stp [P3],SW_PUSH-12mm_Wuerth-430476085716,,,,tht,"Push button switch, normally open, two pins, 45° tilted"
SW31,1,sp [=],SW_PUSH-12mm_Wuerth-430476085716,,,,tht,"Push button switch, normally open, two pins, 45° tilted"
SW32,1,f,SW_PUSH-12mm_Wuerth-430476085716,,,,tht,"Push button switch, normally open, two pins, 45° tilted"
SW33,1,clr,SW_PUSH-12mm_Wuerth-430476085716,,,,tht,"Push button switch, normally open, two pins, 45° tilted"
SW4,1,D [K],SW_PUSH-12mm_Wuerth-430476085716,,,,tht,"Push button switch, normally open, two pins, 45° tilted"
SW5,1,J [C1],SW_PUSH-12mm_Wuerth-430476085716,,,,tht,"Push button switch, normally open, two pins, 45° tilted"
SW6,1,K [C2],SW_PUSH-12mm_Wuerth-430476085716,,,,tht,"Push button switch, normally open, two pins, 45° tilted"
SW7,1,L [RM],SW_PUSH-12mm_Wuerth-430476085716,,,,tht,"Push button switch, normally open, two pins, 45° tilted"
SW8,1,M [%],SW_PUSH-12mm_Wuerth-430476085716,,,,tht,"Push button switch, normally open, two pins, 45° tilted"
SW9,1,S [EXC],SW_PUSH-12mm_Wuerth-430476085716,,,,tht,"Push button switch, normally open, two pins, 45° tilted"
